2.0017831325531006, 59268,
2.003077745437622, 59276,
2.0019280910491943, 59285,
2.0024006366729736, 59300,
2.003113269805908, 59297,
2.002638101577759, 59301,
2.0023398399353027, 59302,
2.0030593872070312, 59303,
2.0016822814941406, 59305,
2.0028321743011475, 59304,
2.002169370651245, 60339,
2.0033891201019287, 60329,
2.00307297706604, 60351,
2.00305438041687, 60359,
2.002887010574341, 60360,
2.002068042755127, 60361,
2.00195574760437, 60363,
2.002756357192993, 60362,
2.002896547317505, 60364,
2.002239465713501, 60365,
